"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version"
1990,"California","CA",6,93,71,"US House",4,"gen",FALSE,"Bryce Bigwood","libertarian",FALSE,"total",12626,210454,FALSE,20171005
2014,"California","CA",6,93,71,"US House",7,"gen",FALSE,"Ami Bera","democrat",FALSE,"total",92521,183587,FALSE,20171005
1998,"California","CA",6,93,71,"US House",8,"gen",FALSE,"David J. Martz","republican",FALSE,"total",20781,172462,FALSE,20171005
1992,"California","CA",6,93,71,"US House",21,"gen",FALSE,"Deborah A. Vollmer","democrat",FALSE,"total",68058,195965,FALSE,20171005
2000,"California","CA",6,93,71,"US House",47,"gen",FALSE,"Christopher Cox","republican",FALSE,"total",181365,276401,FALSE,20171005
2012,"California","CA",6,93,71,"US House",29,"gen",FALSE,"David R. Hernandez","none",FALSE,"total",38994,150281,FALSE,20171005
2014,"California","CA",6,93,71,"US House",18,"gen",FALSE,"Richard B. Fox","republican",FALSE,"total",63326,196386,FALSE,20171005
1992,"California","CA",6,93,71,"US House",9,"gen",FALSE,"Dave Linn","peace and freedom",FALSE,"total",10472,228467,FALSE,20171005
1992,"California","CA",6,93,71,"US House",26,"gen",FALSE,"Howard L. Berman","democrat",FALSE,"total",73807,120908,FALSE,20171005
2004,"California","CA",6,93,71,"US House",43,"gen",FALSE,"Ed Laning","republican",FALSE,"total",44004,130834,FALSE,20171005
2004,"California","CA",6,93,71,"US House",9,"gen",FALSE,"Claudia Bermudez","republican",FALSE,"total",31278,255039,FALSE,20171005
1988,"California","CA",6,93,71,"US House",29,"gen",FALSE,"Augustus F. ""Gus"" Hawkins","democrat",FALSE,"total",88169,106436,FALSE,20171005
2000,"California","CA",6,93,71,"US House",1,"gen",FALSE,"Russel J. ÂÂJimÂÂ Chase","republican",FALSE,"total",66987,239335,FALSE,20171005
2010,"California","CA",6,93,71,"US House",21,"gen",FALSE,"Devin Nunes","republican",FALSE,"total",135979,135979,FALSE,20171005
1986,"California","CA",6,93,71,"US House",44,"gen",FALSE,"Bill Mitchell","republican",FALSE,"total",36359,109836,FALSE,20171005
1976,"California","CA",6,93,71,"US House",32,"gen",FALSE,"Glenn M. Anderson","democrat",FALSE,"total",92034,127428,FALSE,20171005
1980,"California","CA",6,93,71,"US House",4,"gen",FALSE,"Vic Fazio","democrat",FALSE,"total",133853,205055,FALSE,20171005
2004,"California","CA",6,93,71,"US House",36,"gen",FALSE,"Mike Binkley","libertarian",FALSE,"total",5065,244044,FALSE,20171005
1992,"California","CA",6,93,71,"US House",45,"gen",FALSE,"Patricia McCabe","democrat",FALSE,"total",88508,227016,FALSE,20171005
1994,"California","CA",6,93,71,"US House",21,"gen",FALSE,"","",TRUE,"total",339,171629,FALSE,20171005
1992,"California","CA",6,93,71,"US House",27,"gen",FALSE,"Jesse A. Moorman","green",FALSE,"total",11003,212450,FALSE,20171005
1996,"California","CA",6,93,71,"US House",50,"gen",FALSE,"Philip Zoebisch","libertarian",FALSE,"total",1398,118340,FALSE,20171005
1994,"California","CA",6,93,71,"US House",38,"gen",FALSE,"Stephan Horn","republican",FALSE,"total",85225,145769,FALSE,20171005
1976,"California","CA",6,93,71,"US House",19,"gen",FALSE,"Dan Sisson","democrat",FALSE,"total",68722,192923,FALSE,20171005
1976,"California","CA",6,93,71,"US House",37,"gen",FALSE,"Douglas C. Nilson, Jr.","democrat",FALSE,"total",49021,188007,FALSE,20171005
2006,"California","CA",6,93,71,"US House",21,"gen",FALSE,"John Roger Miller","green",FALSE,"total",4729,142661,FALSE,20171005
1982,"California","CA",6,93,71,"US House",21,"gen",FALSE,"Bobbi Fiedler","republican",FALSE,"total",138474,192767,FALSE,20171005
2010,"California","CA",6,93,71,"US House",3,"gen",FALSE,"Jerry L. Leidecker","american independent",FALSE,"total",6577,261938,FALSE,20171005
1996,"California","CA",6,93,71,"US House",36,"gen",FALSE,"Jane Harman","democrat",FALSE,"total",117752,224459,FALSE,20171005
1996,"California","CA",6,93,71,"US House",49,"gen",FALSE,"Peter Sterling","natural law",FALSE,"total",3314,206768,FALSE,20171005
1986,"California","CA",6,93,71,"US House",42,"gen",FALSE,"Daniel E. Lungren","republican",FALSE,"total",140364,192711,FALSE,20171005
1980,"California","CA",6,93,71,"US House",29,"gen",FALSE,"Earl Smith","libertarian",FALSE,"total",2622,92999,FALSE,20171005
2006,"California","CA",6,93,71,"US House",9,"gen",FALSE,"John ÂÂJ.D.ÂÂ Dendulk","republican",FALSE,"total",20786,193686,FALSE,20171005
2004,"California","CA",6,93,71,"US House",14,"gen",FALSE,"Chris Haugen","republican",FALSE,"total",69564,261888,FALSE,20171005
2002,"California","CA",6,93,71,"US House",46,"gen",FALSE,"Keith Gann","libertarian",FALSE,"total",6488,176265,FALSE,20171005
2000,"California","CA",6,93,71,"US House",48,"gen",FALSE,"Darrell Issa","republican",FALSE,"total",160627,261478,FALSE,20171005
1994,"California","CA",6,93,71,"US House",22,"gen",FALSE,"Andrea H. Seastrand","republican",FALSE,"total",102987,209008,FALSE,20171005
